"nbPassengers","operatingAirline","bookingStatus","originAirport","destinationAirport","departureDate","arrivalDate"
2,"af","confirmed","cdg","jfk","2019-07-20T08:00:00Z","2019-07-20T10:15:00Z"
2,"af","confirmed","hnd","cdg","2019-05-17T14:20:00Z","2019-05-17T19:45:00Z"
2,"af","confirmed","edi","cdg","2019-04-29T17:05:00Z","2019-04-29T20:00:00Z"
1,"af","confirmed","lys","ory","2019-05-13T11:15:00Z","2019-05-13T12:20:00Z"
"","","","","","",""
1,"af","confirmed","tln","cdg","2019-04-30T13:15:00Z","2019-04-30T14:55:00Z"
1,"af","confirmed","cdg","tln","2019-04-20T11:00:00Z","2019-04-20T12:40:00Z"
1,"dl","confirmed","lax","ams","2019-03-17T13:21:00Z","2019-03-18T08:30:00Z"
1,"kl","confirmed","ams","drs","2019-03-18T12:30:00Z","2019-03-18T13:50:00Z"
2,"af","confirmed","cdg","muc","2019-05-09T07:10:00Z","2019-05-09T08:40:00Z"
2,"af","confirmed","muc","cdg","2019-05-13T20:35:00Z","2019-05-13T22:15:00Z"
1,"9w","confirmed","ams","bom","2019-05-20T11:25:00Z","2019-05-21T00:05:00Z"
1,"kl","confirmed","ams","mad","2019-06-04T13:50:00Z","2019-06-04T16:25:00Z"
1,"af","confirmed","cdg","lys","2019-04-18T08:20:00Z","2019-04-18T09:25:00Z"
1,"af","confirmed","cdg","hnd","2019-04-22T17:40:00Z","2019-04-23T12:45:00Z"
4,"af","confirmed","ory","bia","2019-08-22T11:10:00Z","2019-08-22T12:55:00Z"
"","","","","","",""
2,"kl","confirmed","ams","dxb","2019-03-17T17:10:00Z","2019-03-18T02:55:00Z"
2,"kl","confirmed","ams","mex","2019-04-05T14:30:00Z","2019-04-05T17:55:00Z"
2,"kl","confirmed","ams","pty","2019-03-18T11:25:00Z","2019-03-18T16:30:00Z"
2,"kl","confirmed","pty","ams","2019-03-25T18:45:00Z","2019-03-26T10:55:00Z"
1,"kl","confirmed","nbo","ams","2019-05-10T23:40:00Z","2019-05-11T06:55:00Z"
1,"kq","confirmed","nbo","fbm","2019-03-19T12:40:00Z","2019-03-19T14:10:00Z"
1,"kl","confirmed","ams","kul","2019-05-09T20:50:00Z","2019-05-10T14:50:00Z"
1,"kl","confirmed","ams","bru","2019-06-17T08:55:00Z","2019-06-17T09:40:00Z"
2,"kl","confirmed","ams","dxb","2019-03-17T17:10:00Z","2019-03-18T02:55:00Z"
2,"kl","confirmed","ams","mex","2019-04-05T14:30:00Z","2019-04-05T17:55:00Z"
1,"af","confirmed","hav","cdg","2019-06-04T22:55:00Z","2019-06-05T14:05:00Z"
1,"af","confirmed","cdg","hav","2019-04-30T16:40:00Z","2019-04-30T20:35:00Z"
3,"kl","confirmed","iah","ams","2019-03-17T16:35:00Z","2019-03-18T07:50:00Z"
3,"kl","confirmed","ams","iah","2019-03-24T10:05:00Z","2019-03-24T14:40:00Z"
1,"a5","confirmed","bod","lys","2019-03-28T14:15:00Z","2019-03-28T15:25:00Z"
1,"a5","confirmed","lys","bod","2019-03-21T20:25:00Z","2019-03-21T21:30:00Z"
1,"kq","confirmed","nbo","hre","2019-03-14T07:40:00Z","2019-03-14T11:25:00Z"
1,"ek","confirmed","hre","lun","2019-03-17T18:25:00Z","2019-03-17T19:30:00Z"
1,"mu","confirmed","ams","pvg","2019-05-10T12:40:00Z","2019-05-11T05:45:00Z"
1,"kl","confirmed","pvg","ams","2019-02-16T00:15:00Z","2019-02-16T05:20:00Z"
1,"kl","confirmed","nbo","ams","2019-05-10T23:40:00Z","2019-05-11T06:55:00Z"
1,"kl","confirmed","bod","ams","2019-03-18T12:30:00Z","2019-03-18T14:20:00Z"
1,"af","confirmed","cdg","hnd","2019-03-23T23:20:00Z","2019-03-24T19:25:00Z"
1,"af","confirmed","hnd","cdg","2019-03-18T23:50:00Z","2019-03-19T04:50:00Z"
2,"af","confirmed","eze","cdg","2020-02-22T14:35:00Z","2020-02-23T07:50:00Z"
2,"af","confirmed","cdg","scl","2020-02-07T23:40:00Z","2020-02-08T09:10:00Z"
1,"af","confirmed","cdg","tlv","2019-03-09T17:55:00Z","2019-03-09T23:25:00Z"
1,"af","confirmed","tlv","cdg","2019-03-17T18:10:00Z","2019-03-17T22:20:00Z"
4,"kl","confirmed","ams","xmn","2019-03-17T16:45:00Z","2019-03-18T10:50:00Z"
4,"cz","confirmed","xmn","can","2019-03-18T14:30:00Z","2019-03-18T16:10:00Z"
1,"af","confirmed","ist","cdg","2019-05-23T04:15:00Z","2019-05-23T06:55:00Z"
1,"kk","confirmed","cdg","ist","2019-06-13T14:45:00Z","2019-06-13T19:20:00Z"
1,"af","confirmed","ory","mpl","2019-03-13T08:50:00Z","2019-03-13T10:05:00Z"
1,"af","confirmed","mpl","ory","2019-03-17T16:00:00Z","2019-03-17T17:20:00Z"
1,"kl","confirmed","ams","ham","2019-03-17T16:45:00Z","2019-03-17T17:50:00Z"
1,"kl","confirmed","ham","ams","2019-03-22T14:45:00Z","2019-03-22T15:50:00Z"
2,"af","confirmed","cdg","edi","2019-05-17T21:00:00Z","2019-05-17T21:45:00Z"
2,"af","confirmed","hnd","cdg","2019-05-17T14:20:00Z","2019-05-17T19:45:00Z"
1,"af","seat_available","bcn","cdg","2019-03-17T19:30:00Z","2019-03-17T21:30:00Z"
"","","","","","",""
1,"dl","confirmed","bis","msp","2019-03-17T10:46:00Z","2019-03-17T12:15:00Z"
1,"dl","confirmed","msp","cdg","2019-03-17T16:50:00Z","2019-03-18T07:10:00Z"
2,"af","confirmed","mpl","cdg","2019-04-27T06:00:00Z","2019-04-27T07:30:00Z"
2,"af","confirmed","jfk","ory","2019-05-05T19:35:00Z","2019-05-06T09:10:00Z"
1,"a5","confirmed","mrs","cfr","2019-03-21T10:05:00Z","2019-03-21T11:40:00Z"
"","","","","","",""
1,"dl","confirmed","ams","dtw","2019-03-22T10:30:00Z","2019-03-22T13:59:00Z"
1,"dl","confirmed","dtw","gsp","2019-03-22T15:21:00Z","2019-03-22T17:08:00Z"
2,"af","confirmed","mad","cdg","2019-10-06T17:40:00Z","2019-10-06T19:45:00Z"
2,"af","confirmed","rns","cdg","2019-10-03T18:35:00Z","2019-10-03T19:40:00Z"
1,"lh","confirmed","arn","fra","2019-03-22T13:50:00Z","2019-03-22T15:55:00Z"
1,"dl","confirmed","jfk","ams","2019-03-17T17:12:00Z","2019-03-18T05:55:00Z"
1,"kl","confirmed","ams","waw","2019-03-23T21:25:00Z","2019-03-23T23:25:00Z"
1,"kl","confirmed","cdg","ams","2019-03-23T18:40:00Z","2019-03-23T20:00:00Z"
1,"kl","confirmed","eze","scl","2019-03-18T08:55:00Z","2019-03-18T11:05:00Z"
"","","","","","",""
1,"af","confirmed","pvg","cdg","2019-03-18T00:10:00Z","2019-03-18T05:55:00Z"
1,"af","confirmed","cdg","pvg","2019-03-22T23:25:00Z","2019-03-23T17:45:00Z"
3,"ux","confirmed","agp","cdg","2019-07-18T09:20:00Z","2019-07-18T12:00:00Z"
3,"af","confirmed","cdg","kbp","2019-07-18T20:50:00Z","2019-07-19T00:55:00Z"
1,"af","confirmed","cdg","tlv","2019-03-09T17:55:00Z","2019-03-09T23:25:00Z"
1,"af","confirmed","tlv","cdg","2019-03-17T18:10:00Z","2019-03-17T22:20:00Z"
2,"af","confirmed","arn","cdg","2019-04-14T13:35:00Z","2019-04-14T16:15:00Z"
"","","","","","",""
3,"af","confirmed","cdg","atl","2019-07-14T10:35:00Z","2019-07-14T14:05:00Z"
3,"af","confirmed","bom","cdg","2019-07-14T01:55:00Z","2019-07-14T08:05:00Z"
1,"kl","confirmed","ams","pek","2019-03-17T17:30:00Z","2019-03-18T09:55:00Z"
1,"kl","confirmed","ams","tls","2019-03-22T20:35:00Z","2019-03-22T22:25:00Z"
2,"af","confirmed","hnd","cdg","2019-11-30T13:45:00Z","2019-11-30T18:35:00Z"
2,"af","confirmed","lys","cdg","2019-11-16T11:00:00Z","2019-11-16T12:10:00Z"
2,"kl","confirmed","ams","dxb","2019-03-17T17:10:00Z","2019-03-18T02:55:00Z"
2,"kl","confirmed","dxb","ams","2019-03-23T01:55:00Z","2019-03-23T06:20:00Z"
1,"af","confirmed","pvg","cdg","2019-03-18T00:10:00Z","2019-03-18T05:55:00Z"
1,"af","confirmed","cdg","pvg","2019-03-22T23:25:00Z","2019-03-23T17:45:00Z"
1,"a5","confirmed","sxb","mrs","2019-03-20T14:40:00Z","2019-03-20T15:55:00Z"
1,"a5","confirmed","mrs","sxb","2019-03-30T12:35:00Z","2019-03-30T13:55:00Z"
2,"af","confirmed","flr","cdg","2019-04-24T20:25:00Z","2019-04-24T22:15:00Z"
"","","","","","",""
1,"kl","confirmed","gla","ams","2019-03-15T06:05:00Z","2019-03-15T08:50:00Z"
1,"kl","confirmed","ams","gla","2019-03-17T16:05:00Z","2019-03-17T16:35:00Z"
1,"kl","confirmed","ams","edi","2019-03-15T08:10:00Z","2019-03-15T08:40:00Z"
1,"kl","confirmed","ams","msp","2019-03-17T17:00:00Z","2019-03-17T19:40:00Z"
2,"dl","confirmed","jfk","nce","2019-07-14T20:15:00Z","2019-07-15T10:25:00Z"
2,"dl","confirmed","nce","jfk","2019-08-27T12:15:00Z","2019-08-27T15:18:00Z"
1,"kl","confirmed","atl","ams","2019-05-08T22:35:00Z","2019-05-09T12:55:00Z"
1,"kl","confirmed","ams","kul","2019-05-09T20:50:00Z","2019-05-10T14:50:00Z"
2,"kl","confirmed","ams","dub","2019-03-18T21:20:00Z","2019-03-18T22:00:00Z"
2,"kl","confirmed","ams","fco","2019-03-16T06:55:00Z","2019-03-16T09:10:00Z"
2,"kl","confirmed","mad","ams","2019-03-31T17:10:00Z","2019-03-31T19:50:00Z"
2,"kl","confirmed","ams","wdh","2019-03-31T22:55:00Z","2019-04-01T11:05:00Z"
1,"kl","confirmed","ams","iad","2019-03-18T13:20:00Z","2019-03-18T16:45:00Z"
1,"kl","confirmed","kgl","ams","2019-03-17T20:15:00Z","2019-03-18T06:00:00Z"
1,"kl","confirmed","fra","ams","2019-09-05T19:20:00Z","2019-09-05T20:30:00Z"
1,"kl","confirmed","ams","fra","2019-09-29T17:30:00Z","2019-09-29T18:40:00Z"
1,"dl","confirmed","dtw","phx","2019-03-13T16:05:00Z","2019-03-13T17:30:00Z"
1,"dl","confirmed","jfk","fra","2019-03-18T19:30:00Z","2019-03-19T08:40:00Z"
1,"kl","confirmed","ams","muc","2019-03-29T15:25:00Z","2019-03-29T16:45:00Z"
1,"kl","confirmed","muc","ams","2019-03-17T20:00:00Z","2019-03-17T21:40:00Z"
2,"af","confirmed","cdg","lys","2019-11-30T21:25:00Z","2019-11-30T22:35:00Z"
2,"af","confirmed","hnd","cdg","2019-11-30T13:45:00Z","2019-11-30T18:35:00Z"
2,"kl","confirmed","ams","cwl","2019-06-26T08:55:00Z","2019-06-26T09:15:00Z"
2,"be","confirmed","cwl","cdg","2019-05-19T16:15:00Z","2019-05-19T18:40:00Z"
3,"dl","confirmed","mco","lga","2019-03-23T10:50:00Z","2019-03-23T13:24:00Z"
3,"dl","confirmed","jnb","atl","2019-03-16T20:25:00Z","2019-03-17T07:15:00Z"
2,"af","confirmed","nce","cdg","2020-01-31T10:35:00Z","2020-01-31T12:10:00Z"
2,"af","confirmed","cdg","nce","2020-02-09T12:45:00Z","2020-02-09T14:15:00Z"
1,"af","confirmed","cdg","rba","2019-03-22T21:00:00Z","2019-03-22T23:55:00Z"
1,"af","confirmed","rba","cdg","2019-03-18T14:10:00Z","2019-03-18T17:10:00Z"
2,"af","confirmed","mad","cdg","2019-10-06T17:40:00Z","2019-10-06T19:45:00Z"
2,"af","confirmed","rns","cdg","2019-10-03T18:35:00Z","2019-10-03T19:40:00Z"
2,"kl","confirmed","ncl","ams","2019-05-01T06:00:00Z","2019-05-01T08:25:00Z"
2,"kl","confirmed","ams","ncl","2019-05-04T16:20:00Z","2019-05-04T16:40:00Z"
2,"kl","confirmed","bll","ams","2019-05-08T14:20:00Z","2019-05-08T15:35:00Z"
2,"kl","confirmed","ams","bll","2019-05-16T10:15:00Z","2019-05-16T11:20:00Z"
1,"lo","confirmed","kgd","waw","2019-04-02T12:40:00Z","2019-04-02T13:45:00Z"
1,"dl","confirmed","ams","atl","2019-04-02T10:05:00Z","2019-04-02T13:30:00Z"
1,"kl","confirmed","ams","atl","2019-03-18T16:50:00Z","2019-03-18T21:25:00Z"
1,"kl","confirmed","drs","ams","2019-03-18T14:20:00Z","2019-03-18T15:50:00Z"
2,"kl","confirmed","ams","pvg","2019-03-17T17:15:00Z","2019-03-18T10:50:00Z"
2,"kl","confirmed","pvg","ams","2019-03-31T12:40:00Z","2019-03-31T18:20:00Z"
1,"aa","confirmed","dfw","jfk","2019-03-16T07:00:00Z","2019-03-16T11:34:00Z"
1,"kq","confirmed","jfk","nbo","2019-03-17T13:00:00Z","2019-03-18T10:30:00Z"
1,"af","confirmed","cdg","flr","2019-03-19T17:55:00Z","2019-03-19T19:35:00Z"
1,"kl","confirmed","bru","ams","2019-03-22T14:45:00Z","2019-03-22T15:35:00Z"
1,"kl","confirmed","ams","cdg","2019-05-03T07:55:00Z","2019-05-03T09:25:00Z"
1,"dl","confirmed","cdg","jfk","2019-04-23T10:20:00Z","2019-04-23T12:46:00Z"
1,"af","confirmed","cdg","bsl","2019-03-18T12:30:00Z","2019-03-18T13:35:00Z"
1,"am","unaccepted","mex","mty","2019-03-01T19:00:00Z","2019-03-01T20:48:00Z"
1,"dl","confirmed","cdg","bos","2019-03-27T10:15:00Z","2019-03-27T13:19:00Z"
1,"af","confirmed","fna","cdg","2019-03-26T21:05:00Z","2019-03-27T06:35:00Z"
1,"dl","confirmed","dtw","ams","2019-02-21T18:23:00Z","2019-02-22T08:00:00Z"
1,"kl","confirmed","ams","ord","2019-03-18T12:40:00Z","2019-03-18T15:25:00Z"
1,"af","confirmed","iah","cdg","2019-03-17T17:05:00Z","2019-03-18T08:40:00Z"
1,"kl","confirmed","abz","ams","2019-03-09T06:00:00Z","2019-03-09T08:40:00Z"
11,"kl","confirmed","ams","gla","2019-03-17T21:25:00Z","2019-03-17T22:00:00Z"
11,"kl","confirmed","lis","ams","2019-03-17T15:25:00Z","2019-03-17T19:35:00Z"
1,"af","confirmed","nce","ory","2019-03-26T19:45:00Z","2019-03-26T21:15:00Z"
1,"af","confirmed","ory","nce","2019-03-22T09:05:00Z","2019-03-22T10:30:00Z"
3,"dl","confirmed","mco","lga","2019-03-23T10:50:00Z","2019-03-23T13:24:00Z"
3,"dl","confirmed","jnb","atl","2019-03-16T20:25:00Z","2019-03-17T07:15:00Z"
1,"af","confirmed","lys","ory","2019-03-18T11:10:00Z","2019-03-18T12:15:00Z"
1,"af","confirmed","ory","lys","2018-07-04T09:15:00Z","2018-07-04T10:15:00Z"
1,"kl","confirmed","ams","bgo","2019-03-30T12:00:00Z","2019-03-30T13:45:00Z"
1,"kl","confirmed","sin","ams","2019-03-30T01:35:00Z","2019-03-30T08:00:00Z"
13,"kl","confirmed","iad","ams","2019-03-28T18:40:00Z","2019-03-29T07:10:00Z"
13,"kl","confirmed","ams","jfk","2019-03-18T13:30:00Z","2019-03-18T16:45:00Z"
3,"af","confirmed","bey","cdg","2019-10-30T15:55:00Z","2019-10-30T19:40:00Z"
3,"me","confirmed","cdg","bey","2019-03-18T10:00:00Z","2019-03-18T15:20:00Z"
2,"be","confirmed","sou","egc","2019-05-10T10:25:00Z","2019-05-10T13:05:00Z"
2,"be","confirmed","egc","sou","2019-05-13T13:35:00Z","2019-05-13T14:15:00Z"
3,"me","confirmed","cdg","bey","2019-03-18T10:00:00Z","2019-03-18T15:20:00Z"
3,"af","confirmed","gru","cdg","2019-03-17T16:35:00Z","2019-03-18T08:05:00Z"
1,"cz","confirmed","pek","wuh","2019-03-18T15:30:00Z","2019-03-18T18:00:00Z"
1,"mf","confirmed","xmn","ams","2019-02-23T00:10:00Z","2019-02-23T05:30:00Z"
1,"dl","confirmed","mty","dtw","2019-03-17T12:48:00Z","2019-03-17T18:26:00Z"
1,"af","unaccepted","cdg","mex","2019-03-01T11:00:00Z","2019-03-01T16:20:00Z"
1,"cz","confirmed","pek","wuh","2019-03-18T15:30:00Z","2019-03-18T18:00:00Z"
1,"mf","confirmed","xmn","ams","2019-02-23T00:10:00Z","2019-02-23T05:30:00Z"
1,"kl","confirmed","ams","man","2019-03-21T16:20:00Z","2019-03-21T16:35:00Z"
1,"kl","confirmed","man","ams","2019-03-17T05:55:00Z","2019-03-17T08:15:00Z"
1,"kq","confirmed","mgq","nbo","2019-03-18T15:50:00Z","2019-03-18T17:35:00Z"
"","","","","","",""
1,"kl","confirmed","bud","ams","2019-03-17T17:05:00Z","2019-03-17T19:15:00Z"
1,"kl","confirmed","ams","bud","2019-03-15T14:15:00Z","2019-03-15T16:15:00Z"
1,"af","confirmed","xwg","cdg","2019-11-22T06:07:00Z","2019-11-22T08:02:00Z"
1,"af","confirmed","oua","cdg","2019-12-20T23:45:00Z","2019-12-21T06:15:00Z"
1,"af","confirmed","cdg","zrh","2019-03-17T16:15:00Z","2019-03-17T17:30:00Z"
1,"af","confirmed","zrh","cdg","2019-03-10T09:35:00Z","2019-03-10T11:00:00Z"
1,"kl","seat_available","cdg","ams","2019-03-21T18:40:00Z","2019-03-21T20:00:00Z"
1,"kl","seat_available","ams","cdg","2019-03-18T12:25:00Z","2019-03-18T13:40:00Z"
13,"kl","confirmed","osl","ams","2019-03-17T17:00:00Z","2019-03-17T18:55:00Z"
13,"kl","confirmed","eze","ams","2019-03-28T16:35:00Z","2019-03-29T09:55:00Z"
1,"af","confirmed","pek","cdg","2018-08-01T09:05:00Z","2018-08-01T14:00:00Z"
1,"af","confirmed","cdg","hav","2018-08-01T16:10:00Z","2018-08-01T20:05:00Z"
3,"dl","confirmed","mco","lga","2019-03-23T10:50:00Z","2019-03-23T13:24:00Z"
3,"dl","confirmed","jnb","atl","2019-03-16T20:25:00Z","2019-03-17T07:15:00Z"
1,"kl","confirmed","pvg","ams","2019-03-23T00:15:00Z","2019-03-23T05:20:00Z"
1,"kl","confirmed","ams","pvg","2019-03-17T17:15:00Z","2019-03-18T10:50:00Z"
3,"kl","confirmed","ams","lax","2019-07-02T09:50:00Z","2019-07-02T11:45:00Z"
3,"kl","confirmed","ams","gla","2019-07-17T21:15:00Z","2019-07-17T21:45:00Z"
2,"9w","confirmed","cdg","bom","2019-01-17T11:30:00Z","2019-01-18T00:50:00Z"
2,"9w","on_request","amd","bom","2019-03-16T21:25:00Z","2019-03-16T22:55:00Z"
1,"af","confirmed","cdg","sin","2019-04-25T20:50:00Z","2019-04-26T15:45:00Z"
1,"af","confirmed","sin","cdg","2019-05-02T22:35:00Z","2019-05-03T06:05:00Z"
1,"me","confirmed","bey","cdg","2019-10-03T02:05:00Z","2019-10-03T05:45:00Z"
1,"af","confirmed","cdg","iah","2019-10-03T10:10:00Z","2019-10-03T13:45:00Z"
1,"cz","confirmed","she","pek","2019-04-14T00:00:00Z","2019-04-14T00:00:00Z"
1,"cz","confirmed","pek","ams","2019-04-15T00:30:00Z","2019-04-15T05:10:00Z"
2,"be","confirmed","sou","egc","2019-05-10T10:25:00Z","2019-05-10T13:05:00Z"
2,"be","confirmed","egc","sou","2019-05-13T13:35:00Z","2019-05-13T14:15:00Z"
1,"af","confirmed","cdg","fco","2019-06-10T06:55:00Z","2019-06-10T09:00:00Z"
"","","","","","",""
1,"dl","confirmed","bru","atl","2019-03-24T09:30:00Z","2019-03-24T14:22:00Z"
1,"dl","confirmed","atl","uio","2019-03-24T18:15:00Z","2019-03-24T22:35:00Z"
2,"kl","confirmed","opo","ams","2019-03-30T11:15:00Z","2019-03-30T14:55:00Z"
2,"kl","confirmed","ams","opo","2019-03-23T08:50:00Z","2019-03-23T10:30:00Z"
28,"kl","confirmed","sfo","ams","2019-04-03T13:55:00Z","2019-04-04T09:15:00Z"
28,"kl","confirmed","ams","lax","2019-03-18T09:55:00Z","2019-03-18T12:55:00Z"
2,"kl","confirmed","yul","ams","2019-05-29T18:50:00Z","2019-05-30T07:35:00Z"
2,"kl","confirmed","bsl","ams","2019-05-14T10:15:00Z","2019-05-14T11:45:00Z"
1,"cz","confirmed","she","pek","2019-04-14T00:00:00Z","2019-04-14T00:00:00Z"
1,"cz","confirmed","pek","ams","2019-04-15T00:30:00Z","2019-04-15T05:10:00Z"
2,"kq","confirmed","nbo","jfk","2019-03-26T22:55:00Z","2019-03-27T06:55:00Z"
2,"pw","confirmed","jro","nbo","2019-03-26T18:30:00Z","2019-03-26T19:30:00Z"
1,"kl","confirmed","ams","lcy","2019-03-18T18:20:00Z","2019-03-18T18:25:00Z"
1,"kl","confirmed","lcy","ams","2019-03-21T18:55:00Z","2019-03-21T21:15:00Z"
3,"kl","confirmed","ams","pvg","2019-03-16T21:20:00Z","2019-03-17T14:55:00Z"
3,"mu","confirmed","pvg","cdg","2019-04-06T12:50:00Z","2019-04-06T19:15:00Z"
1,"a5","confirmed","fco","bod","2019-06-09T11:55:00Z","2019-06-09T14:00:00Z"
"","","","","","",""
2,"kl","confirmed","mnl","ams","2019-04-11T20:05:00Z","2019-04-12T06:55:00Z"
2,"kl","confirmed","aes","ams","2019-06-11T16:50:00Z","2019-06-11T18:55:00Z"
1,"af","confirmed","biq","ory","2019-03-19T15:50:00Z","2019-03-19T17:15:00Z"
1,"af","confirmed","ory","biq","2019-03-18T10:40:00Z","2019-03-18T12:00:00Z"
1,"os","confirmed","vie","cdg","2019-03-19T13:00:00Z","2019-03-19T15:10:00Z"
1,"af","confirmed","cdg","flr","2019-03-19T17:55:00Z","2019-03-19T19:35:00Z"
1,"af","confirmed","cdg","tln","2019-04-04T11:00:00Z","2019-04-04T12:40:00Z"
1,"af","confirmed","txl","cdg","2019-04-04T06:15:00Z","2019-04-04T08:05:00Z"
1,"af","confirmed","dtw","cdg","2019-03-17T22:05:00Z","2019-03-18T10:45:00Z"
"","","","","","",""
2,"dl","confirmed","ams","dtw","2019-04-16T09:20:00Z","2019-04-16T11:50:00Z"
2,"kl","confirmed","ath","ams","2019-04-16T06:00:00Z","2019-04-16T08:30:00Z"
1,"dl","confirmed","lax","ams","2019-03-17T13:21:00Z","2019-03-18T08:30:00Z"
1,"af","confirmed","bre","cdg","2019-04-09T10:30:00Z","2019-04-09T11:55:00Z"
1,"kq","confirmed","ebb","nbo","2019-03-27T20:30:00Z","2019-03-27T21:40:00Z"
1,"kq","confirmed","nbo","ebb","2019-03-27T11:30:00Z","2019-03-27T12:45:00Z"
1,"af","seat_available","cdg","bko","2019-03-20T09:55:00Z","2019-03-20T14:35:00Z"
"","","","","","",""
3,"kl","confirmed","ham","ams","2019-04-03T12:35:00Z","2019-04-03T13:40:00Z"
3,"dl","confirmed","tpa","jfk","2019-04-15T12:10:00Z","2019-04-15T14:52:00Z"
2,"kl","confirmed","muc","ams","2019-08-04T20:50:00Z","2019-08-04T22:20:00Z"
2,"kl","confirmed","ams","muc","2019-08-07T21:00:00Z","2019-08-07T22:25:00Z"
